"","y.cashflow1","y.cashflow2","y.cashflow3","y.cashflow4","y.cashflow5","y.cashflow6","y.cashflow7","y.cashflow8","y.cashflow9","y.cashflow10","y.cashflow11","y.cashflow12","y.cashflow13","y.cashflow14","y.cashflow15","y.cashflow16","y.cashflow17","y.cashflow18","y.cashflow19","y.cashflow20","y.cashflow21","y.cashflow22","y.cashflow23","y.cashflow24","y.cashflow25","y.NPV_ISFM","x.years","x.discount_rate","x.var_cv","x.maize_yield","x.soybean_yield","x.maize_price","x.soybean_price","x.fertilizer","x.seed","x.pesticide","x.equipements","x.land","x.planting_harvest","x.transport"
"20",23579.807376574,23963.5081565395,25434.0761585936,25821.2267911681,28622.0733774052,25014.5116068078,28207.7339989986,24916.679531225,24564.9762683085,30197.8973856948,25787.1687338125,24931.813017202,24200.7132687262,26135.5335376874,25182.9749348566,26775.4186870973,26276.6529938132,25484.1064637481,27271.5705779394,27887.5323160041,24252.0268203582,25112.1402825907,24224.2111006899,28265.403228699,26866.2142596742,382608.213469428,25,5,8.13272269527532,3.72053192508668,2.42383528130292,5998.59689547222,3761.45765906439,541.82305050495,757.214004667781,207.044321072264,543.626258737273,888.97980475288,1444.66882898755,693.564658633112
"21",22508.3726634775,24950.2667207199,19311.7883721235,19868.1561307464,21745.2149356149,21640.3529861421,24688.1352598879,22641.6893531325,25355.7838271138,25317.2415308665,21191.7889540295,26532.8603004353,18810.7501426701,23779.0848109622,23025.8691617673,22454.5206418648,24874.646500859,24453.7526055229,23538.1037051773,21105.3518837072,26576.6996680706,24651.669973471,21033.1831962481,21591.329765617,25186.165318359,338920.703080774,25,5,10.6661227636084,2.85430951909249,2.86296748621562,6321.27027086495,4014.94589522227,656.940755345829,798.772813325741,244.503269814669,1049.11575924927,895.9146516333,1516.52830514045,948.416061221599
"22",21998.1031347851,21390.8214307031,20092.3934054095,18654.0058803123,20024.6078052012,22873.2386332007,21001.4519645319,17005.3143675361,22324.4055326369,21241.0823599405,25642.4996987888,21760.5076500936,24591.0020449959,23591.4095863364,21876.8492227146,22228.5707619584,20343.7556419654,22811.9651582347,18386.7399823334,22622.7811194251,19713.1264714108,19424.3662813768,17014.128195067,23147.7691098945,24415.8804755787,315265.205392524,25,5,10.1621414724875,2.18878220038246,3.13302611916118,7029.19806628361,3797.36108251566,290.276202611284,902.602101889697,276.900794674997,798.74981116639,925.360828825887,1693.09287476491,1094.51719696581
"23",32057.083591897,30375.6367933616,29844.3814563508,34068.3539728367,29388.1833219192,31718.9447722603,29674.1780007164,31930.2413473312,34270.1791157262,33220.8137635543,29813.5048129891,30537.0278733179,29362.5982578166,29434.3074726613,32582.5989684028,33637.5783119988,31099.1759720494,30024.3249522574,32730.7437323741,32265.2853582859,30689.670929132,27923.505414352,32841.6838938713,35645.0930451933,25852.3602628178,462867.702915812,25,5,7.80097627315759,4.26623092145239,2.63049035906647,6437.56685097323,3949.60765451374,521.613592594705,880.735599372851,277.206651750415,795.852403458804,909.832777033298,1448.96162234905,982.664856929355
"24",28206.2516975092,31963.4689035212,29652.9809304694,27344.0050978844,28490.065929864,29729.4970244637,32106.7778912603,28253.523021862,30376.0635689147,27313.1422238973,28281.8122266259,30060.789054241,30069.812858121,26483.2443452462,26896.9257881588,30212.6497089447,26363.7874564524,29370.5458317153,27738.8441148623,27030.5335439743,29911.3963772461,29486.9209728238,32838.5872395452,28453.5885022494,29253.279102631,430478.008995332,25,5,7.50245270590776,3.19589472740599,3.19445975277729,6582.33853159622,4065.33400256818,615.746895504099,526.695341782487,107.414900756106,555.301699183704,847.519277364361,1463.41064920087,652.066890815233
"25",20739.014547347,20204.7349384879,19918.0102431026,21169.3955142573,21998.3308604842,19994.3241704188,24633.6744394496,22146.4074087335,21809.7199307428,21699.9243356015,21865.9126777104,22059.2336033428,20233.5428011313,20139.1500495144,24153.0776122659,20512.0691771231,19826.7683649735,21202.4219824725,22038.5392882028,23114.1511124138,20863.5325063519,20609.6857326665,20520.7180567811,20824.3090673137,20402.8701052026,315323.54619373,25,5,8.54877256058128,2.38582415335881,2.54724671827603,6347.55949623202,4373.9205075808,530.816197571572,610.060346766532,285.175528016146,721.360934255853,936.468937320458,1381.02816080077,745.389460683498
"26",29246.201692097,27951.8683988472,29329.8121916264,28765.9379203949,29872.7231583202,29142.6317977718,31986.3825994913,28951.1515780119,30208.7608191202,29100.1059349114,28823.6486733639,29082.3170252996,26957.0563322332,27513.4945020405,31037.8028763699,33239.7921525751,30332.7115190885,30275.5243816139,32505.4324780263,28419.3038934809,29921.2069645631,28783.6499270285,31008.3986529453,27674.2497710171,30502.2621978508,436878.426153993,25,5,4.48921680746599,4.10070822756303,3.25934970987527,6094.58790754368,3604.23444489852,630.29087590786,1189.7637186147,194.589323271307,1516.93288186306,953.275860010147,1590.64934090785,1025.0848154861
"27",30651.7009010156,30138.7177026243,34244.739623687,32950.5508113835,31788.4963792371,29992.59661316,30160.0364355648,30448.1993552025,29802.1048366664,31442.3540505567,29428.6213244319,29740.3922479263,29271.7905355395,30244.5585841346,30921.6036620163,31250.60547267,31741.1262966822,33824.8799594656,29158.6815662799,31996.4333209825,28108.6285578041,27318.6969523773,31405.1862987281,28676.7995605969,33593.5427703593,456525.419460781,25,5,5.94882142755824,3.73909367187113,2.67877447770346,6598.45983030185,4445.29380958153,887.739412874986,619.068095552399,246.603992857427,1066.9512532219,946.241953317359,1456.45567999201,807.498813377081
"28",30295.3516543862,25379.7575408748,26512.0456137287,27922.6792523857,33210.8405892343,28084.746368232,28688.8989607805,36144.6396551357,27291.8801984835,29119.8074164247,28822.0616798161,26462.4086605769,29884.4995421144,31042.6746221455,32036.6188736573,30739.915668856,28034.7597856812,31460.1966792439,29396.8008606315,29806.2444682202,30186.3448750011,30107.0800431589,30854.3313261109,27138.1662334898,28569.7593100524,434541.971457128,25,5,8.75484165473104,3.47262321542872,3.47079053286978,6526.03494011917,3894.25014692109,1156.59138788386,418.679826519773,349.110251158901,951.190581887814,986.093610950484,2138.20938699349,811.16198432924
"29",21498.870054475,22014.8864919578,24428.8361993674,23717.2105417259,24037.0821858914,26430.697082911,23361.5543586555,25806.5426667494,24523.8678320296,23126.2853269619,21735.8707522396,22741.2538669257,23332.6704433799,25985.3409058418,23078.7217736937,24559.8446991723,25307.1297408179,23459.0054738052,23192.7339965744,21872.6831307817,23689.3080360509,23981.6133148431,23444.1235546498,23981.2220611168,22695.907962077,350274.838624081,25,5,5.9826349483731,2.46472153493391,3.0402575898229,6952.31881444634,3912.99513859379,591.78645196192,736.544733243333,223.214537581623,447.904168344856,931.927063331026,1525.44622493201,654.176801143547
